starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYBBBBBB, 0.0001680221, 16039.67, 221.77, 0.00
YYYYBBBBPP, 0.00015248008, 16039.67, 147.85, 4203.24
YYYYBBBBYB, 0.00065528625, 15550.22, 194.05, 0.00
YYYYBBBBYP, 0.00036040743, 15550.22, 147.85, 2627.02
YYYYBBBBBP, 0.00055447296, 16039.67, 249.64, 2681.66
YYYYBBPPPP, 0.000046125228, 16039.67, 4203.24, 147.85
YYYYBBPPYB, 0.0003964482, 15550.22, 120.13, 2871.80
YYYYBBPPYP, 0.00021804652, 15550.22, 2871.80, 120.13
YYYYBBPPBP, 0.00033545622, 16039.67, 3948.72, 120.13
YYYYBBYBYB, 0.0008518721, 13999.89, 166.33, 0.00
YYYYBBYBYP, 0.00093705935, 13999.89, 120.13, 1794.87
YYYYBBYBBP, 0.0014416297, 15550.22, 206.03, 1931.47
YYYYBBYPYP, 0.00025769134, 13999.89, 1661.00, 92.41
YYYYBBYPBP, 0.0007928964, 15550.22, 120.13, 2871.80
YYYYBBBPBP, 0.0006099203, 16039.67, 182.21, 3827.11
YYYYPPPPPP, 0.000004650961, 16039.67, 0.00, 221.77
YYYYPPPPYB, 0.00005996279, 15550.22, 2627.02, 147.85
YYYYPPPPYP, 0.00003297954, 15550.22, 0.00, 194.05
YYYYPPPPBP, 0.00005073775, 16039.67, 2681.66, 249.64
YYYYPPYBYB, 0.0002576913, 13999.89, 92.41, 1661.00
YYYYPPYBYP, 0.00028346045, 13999.89, 1794.87, 120.13
YYYYPPYBBP, 0.00043609302, 15550.22, 2871.80, 120.13
YYYYPPYPYP, 0.000077951634, 13999.89, 0.00, 166.33
YYYYPPYPBP, 0.00023985119, 15550.22, 1931.47, 206.03
YYYYPPBPBP, 0.00018450091, 16039.67, 3827.11, 182.21
YYYYYBYBYB, 0.00036914452, 11496.85, 138.61, 0.00
YYYYYBYBYP, 0.0006090885, 11496.85, 92.41, 1038.13
YYYYYBYBBP, 0.00093705923, 13999.89, 138.61, 1379.62
YYYYYBYPYP, 0.0003349987, 11496.85, 1038.13, 92.41
YYYYYBYPBP, 0.0010307652, 13999.89, 1661.00, 92.41
YYYYYBBPBP, 0.0007928963, 15550.22, 138.61, 2759.24
YYYYYPYPYP, 0.00006141643, 11496.85, 0.00, 138.61
YYYYYPYPBP, 0.00028346048, 13999.89, 1379.62, 138.61
YYYYYPBPBP, 0.00043609305, 15550.22, 2759.24, 138.61
YYYYBPBPBP, 0.00022363746, 16039.67, 4138.87, 138.61
YYBBBBBBBB, 0.00019884275, 11891.21, 295.70, 0.00
